street,seq,cross_street,left_no,right_no,page
AISQUITH,1,av,,329,757
AISQUITH,2,Rosendale Cement and,,,757
AISQUITH,3,"COURTS, WHARVES, &amp;C",,,757
THE,1,"house, for instance, 71 N. CHARLES-ST., on consult",,,757
THE,2,"and Pleasant-sts , right hand. Or, if you are going up",,,757
THE,3,"for example, at 103 Park-st., examine thenumbers on the",,,757
THE,4,"will find 95 on the corner of Park and Centre, then by",,,757
THE,5,right hand,,,757
THE,6,"thousand, eight hundred and sixty-three, by John TV",,,757
THE,7,the District Court of Maryland,,,757
THE,8,pi Place sq Square,,,757
THE,9,S' South w- West,,,757
THE,10,sp Space whf Wharf,,,757
THE,11,Hoffman,,,757
THE,12,To Northern av,,,757
ALICEANNA,1,S of Canton av,,,757
ALICEANNA,2,Falls av,,,757
ALICEANNA,3,av,,,757
ALICEANNA,4,East av,,,757
"AMITY, (S)",1,Spear's Wharf,,21,757
"ANN, (S)",1,Lombard,36,23,758
"ANN, (S)",2,Bank,160,141,758
"ANN, (S)",3,av,182,167,758
"ANN, (S)",4,av,224,205,758
ARBEL AL,1,and McKim,,,758
ATLANTIC WHF,1,B,,,758
"BALTIMORE, (W)",1,Falls,1,2,758
"BALTIMORE, (W)",2,Market space,25,,758
"BALTIMORE, (W)",3,Harrison,,22,758
"BALTIMORE, (W)",4,Frederick «,41,52,758
"BALTIMORE, (W)",5,Gaj,61,,758
"BALTIMORE, (W)",6,Post Office av,81,,758
"BALTIMORE, (W)",7,HolUday,101,104,758
"BALTIMORE, (W)",8,South,115,,758
"BALTIMORE, (W)",9,North,,120,758
"BALTIMORE, (W)",10,Calvert,153,152,758
"BALTIMORE, (W)",11,Grant,169,,758
"BALTIMORE, (W)",12,Light,187,,758
"BALTIMORE, (W)",13,St. Paul,,188,758
"BALTIMORE, (W)",14,Charles,229,230,758
"BALTIMORE, (W)",15,Hanovar,263,,758
"BALTIMORE, (W)",16,McClellaa,,284,758
"BALTIMORE, (W)",17,Sharp,293,294,758
"BALTIMORE, (W)",18,Liberty,301,302,758
"BALTIMORE, (W)",19,Howard,327,328,758
"BALTIMORE, (W)",20,Eutaw,356,363,758
"BALTIMORE, (W)",21,Paca,291,382,758
"BALTIMORE, (W)",22,Greene,425,422,758
"BALTIMORE, (W)",23,Pearl,,442,758
"BALTIMORE, (W)",24,Arch,,464,758
"BALTIMORE, (W)",25,Pine,505,512,758
"BALTIMORE, (W)",26,Fremont,559,572,758
"BALTIMORE, (W)",27,Callendar al,639,,758
"BALTIMORE, (W)",28,Poppleton,657,680,758
"BALTIMORE, (W)",29,Amity,679,704,758
"BALTIMORE, (W)",30,Schroeder,705,724,758
"BALTIMORE, (W)",31,Oregon,739,774,758
"BALTIMORE, (W)",32,Republican,783,808,758
"BALTIMORE, (W)",33,&amp; BAKER,,,758
"BALTIMORE, (W)",34,To Calverton road,,,758
"BALTIMORE, (E)",1,Falls,,,758
"BALTIMORE, (E)",2,Falls,2,1,758
"BALTIMORE, (E)",3,High,42,45,758
"BALTIMORE, (E)",4,Templ§,54,,758
"BALTIMORE, (E)",5,Exeter,60,73,758
"BALTIMORE, (E)",6,East,86,,758
"BALTIMORE, (E)",7,^,,101,758
"BALTIMORE, (E)",8,av,154,159,758
"BALTIMORE, (E)",9,',220,237,758
"BALTIMORE, (E)",10,■,288,299,758
"BALTIMORE, (E)",11,Ann,324,341,758
"BALTIMORE, (E)",12,Wolfe,364,,758
"BALTIMORE, (E)",13,Chester '&quot;,438,457,758
"BALTIMORE, (E)",14,•,472,475,758
"BALTIMORE, (E)",15,East av,,,758
BANK,1,Exeter,2,1,758
BANK,2,Central av,,25,758
BANK,3,Eden,18,33,758
BANK,4,Spring,40,55,758
BANK,5,Dallas,68,79,758
BANK,6,Bond,72,85,758
BANK,7,Bethel,82,,758
